,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,indexOf,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
41,,2.0,,,,,,0.0,0.0,,,406.0,,success,2,,,,21.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
42,,32.0,,,,,,6750.0,595.0,,,0.0,,gamble,2,,,,22.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
43,,34.0,,,,,,6750.0,0.0,,,0.0,,earlyFail,4,,,,23.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
44,,23.0,,,,,,1862.0231475757028,0.0,,,443.0,,success,3,,,,24.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
45,,25.0,,,,,,6750.0,0.0,,,713.0,,success,5,,,,25.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
46,,24.0,,,,,,6579.331358497931,0.0,,,47.0,,success,4,,,,26.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
47,,31.0,,,,,,4175.961245828747,0.0,,,0.0,,earlyFail,1,,,,27.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
48,,4.0,,,,,,1750.2137124679846,0.0,,,484.0,,success,4,,,,28.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
49,,33.0,,,,,,6750.0,0.0,,,0.0,,fail,3,,,,29.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
50,,2.0,,,,,,4297.837410367675,0.0,,,0.0,,earlyFail,2,,,,30.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
51,,5.0,,,,,,0.0,0.0,,,403.0,,success,5,,,,31.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
52,,1.0,,,,,,0.0,0.0,,,428.0,,success,1,,,,32.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
53,,34.0,,,,,,4193.138278812144,547.0,,,0.0,,gamble,4,,,,33.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
54,,1.0,,,,,,4311.05406282491,573.0,,,0.0,,gamble,1,,,,34.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
55,,35.0,,,,,,1773.4511650769334,929.0,,,0.0,,gamble,5,,,,35.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
56,,1.0,,,,,,6750.0,663.0,,,0.0,,gamble,1,,,,36.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
57,,1.0,,,,,,0.0,0.0,,,412.0,,success,1,,,,37.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
58,,6.0,,,,,,0.0,0.0,,,517.0,,success,6,,,,38.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
59,,25.0,,,,,,1768.9854199275767,0.0,,,607.0,,success,5,,,,39.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
60,,6.0,,,,,,4301.93886841507,0.0,,,0.0,,earlyFail,6,,,,40.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
61,,23.0,,,,,,6750.0,791.0,,,0.0,,gamble,3,,,,41.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
62,,3.0,,,,,,1764.129553798596,0.0,,,467.0,,success,3,,,,42.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
63,,24.0,,,,,,1686.493490601027,0.0,,,430.0,,success,4,,,,43.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
64,,24.0,,,,,,4307.39183848473,0.0,,,633.0,,success,4,,,,44.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
65,,26.0,,,,,,4276.105685145341,0.0,,,457.0,,success,6,,,,45.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
66,,5.0,,,,,,6742.047060027562,807.0,,,0.0,,gamble,5,,,,46.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
67,,4.0,,,,,,4270.671396768016,919.0,,,0.0,,gamble,4,,,,47.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
68,,5.0,,,,,,1696.6955554147655,837.0,,,0.0,,gamble,5,,,,48.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
69,,2.0,,,,,,0.0,0.0,,,621.0,,success,2,,,,49.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
70,,5.0,,,,,,4166.383169820188,629.0,,,0.0,,gamble,5,,,,50.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
71,,3.0,,,,,,1653.0686992630813,0.0,,,0.0,,earlyFail,3,,,,51.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
72,,4.0,,,,,,4167.014925704899,951.0,,,0.0,,gamble,4,,,,52.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
73,,22.0,,,,,,1776.1192034754815,0.0,,,487.0,,success,2,,,,53.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
74,,34.0,,,,,,1760.3902119663103,940.0,,,0.0,,gamble,4,,,,54.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
75,,2.0,,,,,,4169.532375788513,636.0,,,0.0,,gamble,2,,,,55.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
76,,5.0,,,,,,6750.0,719.0,,,0.0,,gamble,5,,,,56.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
77,,3.0,,,,,,4143.873906673049,725.0,,,0.0,,gamble,3,,,,57.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
78,,4.0,,,,,,0.0,0.0,,,380.0,,success,4,,,,58.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
79,,2.0,,,,,,3994.4965329688957,996.0,,,0.0,,gamble,2,,,,59.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
80,,86.0,,,,,,1981.4096915114371,0.0,,,0.0,,earlyFail,6,,,,60.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
81,,5.0,,,,,,0.0,0.0,,,381.0,,success,5,,,,61.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
82,,3.0,,,,,,6750.0,590.0,,,0.0,,gamble,3,,,,62.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
83,,4.0,,,,,,0.0,0.0,,,414.0,,success,4,,,,63.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
84,,25.0,,,,,,4297.102540451488,0.0,,,0.0,,earlyFail,5,,,,64.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
85,,35.0,,,,,,4286.395437200725,598.0,,,0.0,,gamble,5,,,,65.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
86,,21.0,,,,,,6737.123152477614,603.0,,,0.0,,gamble,1,,,,66.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
87,,3.0,,,,,,0.0,0.0,,,414.0,,success,3,,,,67.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
88,,2.0,,,,,,0.0,0.0,,,428.0,,success,2,,,,68.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
89,,6.0,,,,,,1861.6512150933063,0.0,,,0.0,,earlyFail,6,,,,69.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
90,,36.0,,,,,,4262.502443907224,518.0,,,0.0,,gamble,6,,,,70.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
91,,31.0,,,,,,6750.0,605.0,,,0.0,,gamble,1,,,,71.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
92,,33.0,,,,,,1702.5723545002713,649.0,,,0.0,,gamble,3,,,,72.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
93,,2.0,,,,,,6750.0,663.0,,,0.0,,gamble,2,,,,73.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
94,,6.0,,,,,,6750.0,520.0,,,0.0,,gamble,6,,,,74.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
95,,3.0,,,,,,6750.0,447.0,,,0.0,,gamble,3,,,,75.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
96,,1.0,,,,,,1680.3308546964165,0.0,,,426.0,,success,1,,,,76.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
97,,32.0,,,,,,1871.2321271923215,0.0,,,0.0,,earlyFail,2,,,,77.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
98,,26.0,,,,,,1907.8949990983072,0.0,,,0.0,,earlyFail,6,,,,78.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
99,,3.0,,,,,,0.0,0.0,,,0.0,,fail,3,,,,79.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
100,,31.0,,,,,,1710.634687353143,0.0,,,0.0,,earlyFail,1,,,,80.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
101,,4.0,,,,,,6750.0,568.0,,,0.0,,gamble,4,,,,81.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
102,,1.0,,,,,,4345.4031679474365,0.0,,,0.0,,earlyFail,1,,,,82.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
103,,6.0,,,,,,6750.0,623.0,,,0.0,,gamble,6,,,,83.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
104,,2.0,,,,,,1774.7910859273743,959.0,,,0.0,,gamble,2,,,,84.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
105,,26.0,,,,,,6726.539846468526,439.0,,,0.0,,gamble,6,,,,85.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
106,,35.0,,,,,,6750.0,511.0,,,0.0,,gamble,5,,,,86.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
107,,22.0,,,,,,4162.07152190953,851.0,,,0.0,,gamble,2,,,,87.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
108,,6.0,,,,,,0.0,0.0,,,510.0,,success,6,,,,88.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
109,,36.0,,,,,,6750.0,602.0,,,0.0,,gamble,6,,,,89.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
110,,1.0,,,,,,1689.40306633944,0.0,,,0.0,,earlyFail,1,,,,90.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
111,,1.0,,,,,,6701.149964743773,790.0,,,0.0,,gamble,1,,,,91.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
112,,4.0,,,,,,1761.9383590800994,796.0,,,0.0,,gamble,4,,,,92.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
113,,4.0,,,,,1559586.0,6608.324818353085,534.0,,,0.0,,gamble,4,,,,93.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
114,,,,,,,,,,,,,postquestionnaire,,,begin,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
115,,,,,,,,,,,,,postquestionnaire,,,begin,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
116,4.0,,,,,,,,,,,,postquestionnaire,,,submit,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
117,,,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,,,,,,,,,,,,,,,
118,,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,,,,,,,,,,,,,,,,
119,,,,,,,,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,,,,,,,,,,
120,,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,,,,,,,,,,,,,,,,,
121,,,Begin,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
122,,,NextPage,,,,,,,0.0,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,65329.0
123,,,NextPage,,,,,,,1.0,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,16287.0
124,,,NextPage,,,,,,,2.0,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,43278.0
125,,,FinishInstructions,,,,,,,3.0,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,28375.0
126,,5.0,,,,,,0.0,0.0,,,552.0,,success,5,,,,1.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
127,,36.0,,,,,,1817.9433384244933,569.0,,,0.0,,gamble,6,,,,2.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
128,,36.0,,,,,,6745.123055755725,593.0,,,0.0,,gamble,6,,,,3.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
129,,6.0,,,,,,0.0,0.0,,,605.0,,success,6,,,,4.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
130,,21.0,,,,,,6750.0,0.0,,,568.0,,success,1,,,,5.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
131,,4.0,,,,,,4272.752663727974,624.0,,,0.0,,gamble,4,,,,6.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
132,,32.0,,,,,,1802.3250969791532,791.0,,,0.0,,gamble,2,,,,7.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
133,,1.0,,,,,,4236.34539810018,580.0,,,0.0,,gamble,1,,,,8.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
134,,23.0,,,,,,1782.294602133111,0.0,,,457.0,,success,3,,,,9.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
135,,1.0,,,,,,6649.575701598268,0.0,,,498.0,,success,1,,,,10.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
136,,1.0,,,,,,6695.186173751122,0.0,,,463.0,,success,1,,,,11.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
137,,2.0,,,,,,6750.0,0.0,,,533.0,,success,2,,,,12.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
138,,34.0,,,,,,4376.827827910028,513.0,,,0.0,,gamble,4,,,,13.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
139,,35.0,,,,,,4174.238053068134,572.0,,,0.0,,gamble,5,,,,14.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
140,,5.0,,,,,,6728.813513215588,0.0,,,508.0,,success,5,,,,15.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
141,,1.0,,,,,,0.0,0.0,,,561.0,,success,1,,,,16.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
142,,6.0,,,,,,4350.450520801284,575.0,,,0.0,,gamble,6,,,,17.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
143,,6.0,,,,,,6594.740796524206,486.0,,,0.0,,gamble,6,,,,18.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
144,,5.0,,,,,,0.0,0.0,,,490.0,,success,5,,,,19.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
145,,23.0,,,,,,4255.690248990292,0.0,,,509.0,,success,3,,,,20.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
146,,6.0,,,,,,6750.0,0.0,,,488.0,,success,6,,,,21.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
147,,3.0,,,,,,0.0,0.0,,,479.0,,success,3,,,,22.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
148,,4.0,,,,,,1820.6779386511153,635.0,,,0.0,,gamble,4,,,,23.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
149,,4.0,,,,,,0.0,0.0,,,565.0,,success,4,,,,24.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
150,,26.0,,,,,,1643.5134290794906,0.0,,,596.0,,success,6,,,,25.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
151,,25.0,,,,,,4407.992711774475,0.0,,,444.0,,success,5,,,,26.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
152,,36.0,,,,,,4045.845501708441,575.0,,,0.0,,gamble,6,,,,27.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
153,,2.0,,,,,,0.0,0.0,,,505.0,,success,2,,,,28.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
154,,24.0,,,,,,1853.6103170795284,0.0,,,442.0,,success,4,,,,29.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
155,,22.0,,,,,,1726.1010621976818,0.0,,,496.0,,success,2,,,,30.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
156,,2.0,,,,,,4146.788666443546,476.0,,,0.0,,gamble,2,,,,31.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
157,,5.0,,,,,,0.0,0.0,,,536.0,,success,5,,,,32.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
158,,6.0,,,,,,1834.212801227037,567.0,,,0.0,,gamble,6,,,,33.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
159,,3.0,,,,,,1852.464335126626,536.0,,,0.0,,gamble,3,,,,34.0,A1G187YBG0DVMQ:3WETL7AQWT8MF70RDD9BDAN6QIR53E,
